"Neighborhood","Class","Units","YearBuilt","SqFt","IncomePerSqFt","ExpensePerSqFt","NetIncome","Value","ValuePerSqFt","Boro"
"BENSONHURST","R4-CONDOMINIUM",65,1939,64800,11.2,5.38,377395,2431991,37.53,"Brooklyn"
"BENSONHURST","R4-CONDOMINIUM",19,2003,35700,18.32,8.79,340092,2447006,68.54,"Brooklyn"
"BENSONHURST","R2-CONDOMINIUM",23,2002,12559,19.01,6.92,151839,1090001,86.79,"Brooklyn"
"BENSONHURST","R2-CONDOMINIUM",8,1997,8991,21.52,8.82,114157,835998,92.98,"Brooklyn"
"DYKER HEIGHTS","R2-CONDOMINIUM",12,1987,9626,17.04,7.67,90196,657998,68.36,"Brooklyn"
"BATH BEACH","R2-CONDOMINIUM",6,2006,10500,23.13,8.79,150576,1080999,102.95,"Brooklyn"
"GRAVESEND","R2-CONDOMINIUM",20,1989,20200,22.8,10.26,253308,1853000,91.73,"Brooklyn"
"BATH BEACH","R4-CONDOMINIUM",8,2006,7760,17.21,6.88,80130,579000,74.61,"Brooklyn"
"BATH BEACH","R4-CONDOMINIUM",16,1985,14462,19.7,9.72,144330,1054000,72.88,"Brooklyn"
"BATH BEACH","R9-CONDOMINIUM",28,1922,18964,11.81,6.61,98545,658900,34.74,"Brooklyn"
"BATH BEACH","R4-CONDOMINIUM",32,2007,36913,15.93,6.43,350673,2523007,68.35,"Brooklyn"
"BATH BEACH","R2-CONDOMINIUM",12,2001,15224,18.32,8.79,145030,1042998,68.51,"Brooklyn"
"OCEAN PARKWAY-NORTH","R4-CONDOMINIUM",35,2006,52645,18.49,5.7,673329,4842001,91.97,"Brooklyn"
"OCEAN PARKWAY-NORTH","R4-CONDOMINIUM",13,2007,25685,23.5,9.64,356123,2597001,101.11,"Brooklyn"
"BOROUGH PARK","R2-CONDOMINIUM",6,1999,11269,16.94,7.62,104993,768000,68.15,"Brooklyn"
"BOROUGH PARK","R4-CONDOMINIUM",8,2009,8485,16.76,7.54,78214,565998,66.71,"Brooklyn"
"BOROUGH PARK","R2-CONDOMINIUM",12,2006,11427,18.16,7.26,124554,895998,78.41,"Brooklyn"
"BOROUGH PARK","R4-CONDOMINIUM",14,2006,10670,18.78,7.51,120230,882004,82.66,"Brooklyn"
"BOROUGH PARK","R4-CONDOMINIUM",22,NA,29596,13.88,5.83,238259,1570003,53.05,"Brooklyn"
"BOROUGH PARK","R4-CONDOMINIUM",13,NA,16153,14.01,6.58,119941,789002,48.85,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",10,2005,14986,18.32,7.51,161981,1165999,77.81,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",8,2005,9417,16.08,6.43,90855,654002,69.45,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",23,2003,13257,18.32,7.51,143308,1030999,77.77,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",11,2005,25487,16.01,6.4,244828,1761001,69.09,"Brooklyn"
"OCEAN PARKWAY-NORTH","R2-CONDOMINIUM",16,1926,11800,14.01,6.72,85965,566004,47.97,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",9,2005,11042,16.08,6.43,106533,767000,69.46,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",19,2005,23777,19.53,8.79,255365,1829998,76.97,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",24,2006,22602,16.08,6.43,218064,1563002,69.15,"Brooklyn"
"OCEAN PARKWAY-NORTH","R4-CONDOMINIUM",64,1941,60600,13.06,6.17,417534,2012990,33.22,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",21,2004,18571,19.53,8.79,199453,1429000,76.95,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",14,2005,19216,18.32,7.51,207702,1493996,77.75,"Brooklyn"
"GRAVESEND","R2-CONDOMINIUM",10,2004,15519,16.03,7.26,136102,977000,62.96,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",24,2008,29330,18,5.4,369558,2716000,92.6,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",14,2002,11525,19.31,7.72,133575,979002,84.95,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",28,2003,54201,19.53,8.79,582119,4172000,76.97,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",31,2005,36431,19.53,8.79,391269,2803988,76.97,"Brooklyn"
"MIDWOOD","R2-CONDOMINIUM",18,NA,27990,14.3,6.86,208200,1474002,52.66,"Brooklyn"
"MIDWOOD","R2-CONDOMINIUM",44,1922,44400,14.53,5.47,402264,2883004,64.93,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",13,2008,21927,23.5,9.64,304018,2217001,101.11,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",8,2005,7160,23.5,9.64,99273,726000,101.4,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",6,NA,7054,21.52,8.82,89563,658000,93.28,"Brooklyn"
"MIDWOOD","R2-CONDOMINIUM",12,2005,16000,14.38,6.47,126544,875998,54.75,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",8,2006,10480,19.53,8.13,119472,858000,81.87,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",8,2005,14497,19.53,8.13,165265,1209002,83.4,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",10,2004,14433,17.29,7.78,137258,991000,68.66,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",8,2005,10530,23.13,8.21,157108,1179999,112.06,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",13,2003,20340,17.29,7.79,193230,1395000,68.58,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",18,2006,29998,15.36,6.4,268782,1941002,64.7,"Brooklyn"
"MADISON","R4-CONDOMINIUM",20,2005,15582,17.73,6.2,179661,1295999,83.17,"Brooklyn"
"MADISON","R4-CONDOMINIUM",8,2005,15379,20.08,7.54,192852,1377000,89.54,"Brooklyn"
"MADISON","R4-CONDOMINIUM",6,1988,5544,11.81,6.09,31712,219002,39.5,"Brooklyn"
"MADISON","R2-CONDOMINIUM",7,2003,6896,15.07,4.53,72684,497001,72.07,"Brooklyn"
"MADISON","R4-CONDOMINIUM",12,2003,14780,11.2,6.47,69909,441999,29.91,"Brooklyn"
"MADISON","R2-CONDOMINIUM",7,2005,7104,19.07,6.8,87166,625999,88.12,"Brooklyn"
"MADISON","R4-CONDOMINIUM",16,2007,24696,17.5,7.69,242268,1735998,70.29,"Brooklyn"
"MADISON","R4-CONDOMINIUM",11,2006,17080,17.5,8.24,158161,1138002,66.63,"Brooklyn"
"MADISON","R4-CONDOMINIUM",8,2006,9600,22.61,9.2,128736,946000,98.54,"Brooklyn"
"MADISON","R2-CONDOMINIUM",12,2004,19600,15.07,8.4,130732,893002,45.56,"Brooklyn"
"MADISON","R4-CONDOMINIUM",7,2005,9500,18.49,5.7,121505,875000,92.11,"Brooklyn"
"GRAVESEND","R2-CONDOMINIUM",6,2007,8123,19.31,6.4,104868,776000,95.53,"Brooklyn"
"GRAVESEND","R2-CONDOMINIUM",6,2004,10534,18.32,10.23,85220,610999,58,"Brooklyn"
"GRAVESEND","R4-CONDOMINIUM",110,1965,109200,13.27,6.94,691236,4617990,42.29,"Brooklyn"
"CONEY ISLAND","R4-CONDOMINIUM",10,2007,15476,15.07,8.16,106939,750204,48.48,"Brooklyn"
"GRAVESEND","R2-CONDOMINIUM",12,2007,9750,18.9,6.65,119437,883998,90.67,"Brooklyn"
"OCEAN PARKWAY-SOUTH","R4-CONDOMINIUM",20,2006,26264,18.41,7.97,274196,1972004,75.08,"Brooklyn"
"BRIGHTON BEACH","R9-CONDOMINIUM",101,1989,87134,11.2,5.68,480980,2750000,31.56,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",12,2001,18063,18.41,9.06,168889,1214999,67.26,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",34,2006,37636,22.61,8.03,548863,4093002,108.75,"Brooklyn"
"CONEY ISLAND","R4-CONDOMINIUM",166,1989,172044,16.1,6.29,1687751,11615997,67.52,"Brooklyn"
"CONEY ISLAND","R4-CONDOMINIUM",371,1964,842968,11.19,7.23,3338153,21948992,26.04,"Brooklyn"
"CONEY ISLAND","R4-CONDOMINIUM",35,2007,41128,17.83,7.13,439987,3216001,78.19,"Brooklyn"
"MADISON","R2-CONDOMINIUM",8,2001,11504,18.93,8.87,115731,833999,72.5,"Brooklyn"
"MADISON","R4-CONDOMINIUM",10,2004,9906,17.06,7.03,99357,716000,72.28,"Brooklyn"
"MADISON","R4-CONDOMINIUM",21,2006,25009,17.5,4.52,324617,2342999,93.69,"Brooklyn"
"MADISON","R4-CONDOMINIUM",21,NA,23679,17.5,4.52,307354,2258001,95.36,"Brooklyn"
"MADISON","R4-CONDOMINIUM",12,NA,17388,16.86,7.58,161361,1168002,67.17,"Brooklyn"
"MADISON","R4-CONDOMINIUM",22,2006,28967,16.61,7.47,264628,1685998,58.2,"Brooklyn"
"MADISON","R4-CONDOMINIUM",25,2005,43876,11.81,6.09,250971,1618001,36.88,"Brooklyn"
"MADISON","R4-CONDOMINIUM",7,2005,12883,17.73,7.09,137076,988003,76.69,"Brooklyn"
"MADISON","R4-CONDOMINIUM",7,2005,10752,17.73,7.09,114401,820000,76.26,"Brooklyn"
"MADISON","R4-CONDOMINIUM",15,2005,17109,17.5,4.71,218825,1574004,92,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",8,2007,11778,15.47,7.74,91044,684000,58.07,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",27,2007,65764,18.6,9.54,595821,4287002,65.19,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",14,2005,21306,16.04,6.62,200702,1442001,67.68,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",20,2004,19032,18.19,9.78,160059,1152000,60.53,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",72,1957,62370,18.13,7.25,678585,4885996,78.34,"Brooklyn"
"SHEEPSHEAD BAY","R9-CONDOMINIUM",62,1961,60072,15.07,8.16,415097,2855000,47.53,"Brooklyn"
"SHEEPSHEAD BAY","R2-CONDOMINIUM",12,1988,14100,18.32,10.23,114069,821000,58.23,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",9,2004,8745,18.49,5.7,111848,806004,92.17,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",16,2005,13078,18.63,5.84,167267,1750997,133.89,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",4,1957,3588,18.75,8.75,35880,257000,71.63,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",88,1957,75324,15.73,7.93,587528,4226987,56.12,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",8,2004,7495,18.63,8.92,72777,5e+05,66.71,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",29,2006,32236,18.93,9.18,314301,2350002,72.9,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",12,2006,25861,23.13,9.46,353520,2566004,99.22,"Brooklyn"
"MIDWOOD","R4-CONDOMINIUM",15,2005,24167,18.46,8.3,245537,1766000,73.07,"Brooklyn"
"CANARSIE","R2-CONDOMINIUM",18,1900,24544,18,8.1,242986,1750998,71.34,"Brooklyn"
"CANARSIE","R2-CONDOMINIUM",12,1985,11402,14.01,6.72,83066,528002,46.31,"Brooklyn"
"CANARSIE","R2-CONDOMINIUM",18,NA,28308,17.29,7.09,288773,2085006,73.65,"Brooklyn"
"CANARSIE","R4-CONDOMINIUM",36,1900,24880,13.03,7.06,148533,965006,38.79,"Brooklyn"
"CANARSIE","R2-CONDOMINIUM",12,1900,15795,12.45,6.07,100772,472001,29.88,"Brooklyn"
"BERGEN BEACH","R4-CONDOMINIUM",208,2005,247998,17.02,6.81,2532556,18171019,73.27,"Brooklyn"
"MILL BASIN","R9-CONDOMINIUM",20,NA,17219,25.12,8.79,281152,2041000,118.53,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",19,2001,18163,17.25,6.9,187987,1353000,74.49,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",14,NA,15978,16.03,7.26,140127,1008000,63.09,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",14,NA,22446,16.02,7.21,197772,1423000,63.4,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",8,2006,8886,23.5,8.22,135734,977001,109.95,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",15,2005,15752,15.62,7.03,135325,973999,61.83,"Brooklyn"
"BRIGHTON BEACH","R2-CONDOMINIUM",10,2004,10951,19.53,6.84,139017,998001,91.13,"Brooklyn"
"BRIGHTON BEACH","R2-CONDOMINIUM",9,2005,11948,19.53,6.84,151674,1088998,91.14,"Brooklyn"
"BRIGHTON BEACH","R2-CONDOMINIUM",12,2004,16777,19.53,8.13,191258,1371000,81.72,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",116,1988,121107,19.53,8.13,1380620,9895000,81.7,"Brooklyn"
"BRIGHTON BEACH","R9-CONDOMINIUM",97,1929,98694,13.93,7.58,626706,4509000,45.69,"Brooklyn"
"BRIGHTON BEACH","R9-CONDOMINIUM",122,NA,106627,11.2,6.27,525458,2860000,26.82,"Brooklyn"
"BRIGHTON BEACH","R9-CONDOMINIUM",83,1937,61980,11.81,6.13,351906,1650000,26.62,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",9,2008,9665,23.5,8.23,147633,1062999,109.98,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",102,2000,74256,26.73,9.36,1290161,14499991,195.27,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",50,NA,66185,23.5,9.64,917655,6692998,101.13,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",50,NA,72043,23.5,9.64,998876,7285003,101.12,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",68,NA,148512,18.32,7.51,1605237,11549002,77.76,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",75,2001,146439,18.32,8.79,1395036,10037004,68.54,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",70,2002,83058,23.5,11.28,1014969,7403004,89.13,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",48,NA,65182,18.32,8.79,620950,4468003,68.55,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",71,NA,96838,23.5,10.58,1251631,9128997,94.27,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",108,2005,152181,23.5,10.57,1966940,14346001,94.27,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",68,2007,89641,23.5,9.63,1242873,8949001,99.83,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",112,2002,151508,23.5,10.57,1958241,14281997,94.27,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",63,NA,106063,23.5,10.57,1370865,9997999,94.26,"Brooklyn"
"BRIGHTON BEACH","R9-CONDOMINIUM",118,1961,133505,10.59,6.05,606113,3763000,28.19,"Brooklyn"
"BRIGHTON BEACH","R4-CONDOMINIUM",24,2005,26656,16.02,6.41,256217,1835999,68.88,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",12,2004,11523,23.5,9.63,159767,1164997,101.1,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",9,2007,10746,19.53,6.84,136415,1001999,93.24,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",10,2001,14987,18.32,7.51,162010,1166002,77.8,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",5,2005,6845,17.29,8.91,57361,532999,77.87,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",12,2001,18590,18.32,8.79,177096,1273996,68.53,"Brooklyn"
"SHEEPSHEAD BAY","R2-CONDOMINIUM",18,2004,37350,15.35,7.37,298053,2046999,54.81,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",25,1994,16602,15.66,7.83,129993,935001,56.32,"Brooklyn"
"SHEEPSHEAD BAY","R2-CONDOMINIUM",12,2004,15028,18.31,8.1,153436,1102000,73.33,"Brooklyn"
"SHEEPSHEAD BAY","R2-CONDOMINIUM",7,2007,8498,22.63,7.92,125006,912000,107.32,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",18,2003,19690,23.5,8.22,300765,2200002,111.73,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",6,NA,8235,17.16,7.71,77834,568999,69.1,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",6,NA,7610,23.5,9.63,105513,772000,101.45,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",14,2006,11844,23.5,9.64,164217,1201002,101.4,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",15,2003,24371,23.5,9.64,337904,2471998,101.43,"Brooklyn"
"SHEEPSHEAD BAY","R4-CONDOMINIUM",21,2005,21660,23.5,9.63,300316,2197001,101.43,"Brooklyn"
"LONG ISLAND CITY","R4-CONDOMINIUM",57,2007,53685,25.5,7.75,952909,6180002,115.12,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",177,1909,187845,18,6.88,2088836,13433994,71.52,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",184,2008,249920,24.75,7.75,4248640,30992004,124.01,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",121,2007,113450,25.5,8.23,1959281,14100000,124.28,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",3,2007,3360,28.16,8.23,66965,446000,132.74,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",35,1955,55421,14.41,7,410670,2840003,51.24,"Queens"
"LONG ISLAND CITY","R2-CONDOMINIUM",47,2005,62866,25.01,8.5,1037918,7538002,119.91,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",13,2006,18375,25.01,8,312559,2270002,123.54,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",132,2008,140166,25.01,8,2384224,17316000,123.54,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",48,2007,58876,25.01,8,1001481,7273000,123.53,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",41,2008,34824,25.01,7.75,601062,4365004,125.34,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",43,2007,58500,25.01,8,995085,7227003,123.54,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",23,2007,36875,25.01,8,627244,4554999,123.53,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",54,2006,60623,26,8,1091214,7118995,117.43,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",72,2007,80874,25.01,8,1375667,9455999,116.92,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",124,2007,141041,23.5,8.5,2115615,15395032,109.15,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",237,1920,310173,17.5,6.09,3539074,22529001,72.63,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",15,2005,15610,21.13,7.4,214325,1575000,100.9,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",39,2006,25035,20.43,7.81,315942,2305001,92.07,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",52,1936,54986,14,6.5,412395,2529007,45.99,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",60,1936,58926,14.25,6.5,456677,2629008,44.62,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",93,1930,69337,14.08,6.5,525574,3230009,46.58,"Queens"
"SUNNYSIDE","R9-CONDOMINIUM",88,1936,70260,14.25,6.5,544515,3339000,47.52,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",64,1938,59920,14.25,6,494340,3031002,50.58,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",31,2006,32825,24,8.5,508787,3683999,112.23,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",30,1988,27636,12.76,4.51,227997,1523999,55.15,"Queens"
"SUNNYSIDE","R4-CONDOMINIUM",47,1939,42000,14.77,7,326340,1946996,46.36,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",64,2006,64957,24.99,8.25,1087380,7898003,121.59,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",44,2007,32057,23,8,480855,341777,10.66,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",39,1931,52053,15.39,7,436725,2909995,55.9,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",66,2004,66590,24.97,6,1263212,9174990,137.78,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",121,2007,124347,24.99,7.5,2174829,15796001,127.03,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",26,2005,25938,25.01,7.75,447689,3247998,125.22,"Queens"
"LONG ISLAND CITY","R4-CONDOMINIUM",25,2007,30480,24.5,8,502920,3652992,119.85,"Queens"
"ASTORIA","R2-CONDOMINIUM",7,NA,5624,28,8.4,110230,792000,140.83,"Queens"
"ASTORIA","R4-CONDOMINIUM",73,2006,71589,24,8,1145424,7787006,108.77,"Queens"
"ASTORIA","R2-CONDOMINIUM",10,2004,6778,24.97,9.5,104856,723000,106.67,"Queens"
"ASTORIA","R4-CONDOMINIUM",11,2006,6920,23.74,7.5,112381,749005,108.24,"Queens"
"ASTORIA","R4-CONDOMINIUM",29,2006,24480,23.74,7.07,408081,2975004,121.53,"Queens"
"ASTORIA","R4-CONDOMINIUM",57,2006,19588,22.36,7.5,291078,2078001,106.09,"Queens"
"ASTORIA","R9-CONDOMINIUM",18,2005,18833,20.23,8.57,219593,1568000,83.26,"Queens"
"ASTORIA","R4-CONDOMINIUM",27,2006,30386,21.93,6.44,470679,3360004,110.58,"Queens"
"ASTORIA","R4-CONDOMINIUM",35,2009,28564,22.36,7,438743,3177000,111.22,"Queens"
"ASTORIA","R4-CONDOMINIUM",30,2006,26598,23.74,7.07,443389,2954002,111.06,"Queens"
"ASTORIA","R4-CONDOMINIUM",15,2008,11282,23.37,7.5,179045,1192996,105.74,"Queens"
"ASTORIA","R4-CONDOMINIUM",26,2008,28100,21.07,7.85,371482,2719999,96.8,"Queens"
"ASTORIA","R4-CONDOMINIUM",33,2008,37111,21.49,7.29,526976,3857992,103.96,"Queens"
"ASTORIA","R4-CONDOMINIUM",85,1932,61600,14.87,6.39,522368,3600995,58.46,"Queens"
"ASTORIA","R4-CONDOMINIUM",30,2006,18292,21.46,8.13,243832,1790000,97.86,"Queens"
"ASTORIA","R9-CONDOMINIUM",88,1937,67704,15.01,6.5,576161,3839000,56.7,"Queens"
"ASTORIA","R4-CONDOMINIUM",125,1963,99600,14.87,6.39,844608,5862016,58.86,"Queens"
"ASTORIA","R4-CONDOMINIUM",74,1950,55000,15.5,7,467500,2969978,54,"Queens"
"ASTORIA","R4-CONDOMINIUM",11,2007,8320,20.39,7.14,110240,734003,88.22,"Queens"
"ASTORIA","R4-CONDOMINIUM",81,1957,82760,15.14,7.18,658769,4540002,54.86,"Queens"
"ASTORIA","R4-CONDOMINIUM",18,2008,16125,22,7.11,240101,1694410,105.08,"Queens"
"ASTORIA","R4-CONDOMINIUM",10,2007,9767,24,7.96,156663,1119001,114.57,"Queens"
"ASTORIA","R4-CONDOMINIUM",24,2007,10450,24,8.5,161975,1179020,112.82,"Queens"
"ASTORIA","R4-CONDOMINIUM",19,2005,14723,21.46,8.13,196258,1402000,95.23,"Queens"
"ASTORIA","R4-CONDOMINIUM",201,1910,194780,24,8.5,3019090,20849996,107.04,"Queens"
"ASTORIA","R9-CONDOMINIUM",32,1992,34650,16,6.31,335758,2057000,59.37,"Queens"
"ASTORIA","R9-CONDOMINIUM",618,1932,430000,15.73,7.5,3538900,24206000,56.29,"Queens"
"ASTORIA","R4-CONDOMINIUM",8,2006,7245,17.16,3.62,98097,710000,98,"Queens"
"ASTORIA","R4-CONDOMINIUM",18,2006,15410,21.46,8.13,205416,1488002,96.56,"Queens"
"ASTORIA","R4-CONDOMINIUM",32,1994,17250,18.38,7,196305,1412001,81.86,"Queens"
"ASTORIA","R4-CONDOMINIUM",405,1989,372700,19.5,8.28,4181694,27860991,74.75,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",16,1929,14361,14.75,7.1,109862,664394,46.26,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",150,1929,134944,14.75,7.1,1032322,6236916,46.22,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",70,1929,63140,14.75,7.1,483021,2915005,46.17,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",34,1929,31445,14.75,7.1,240554,1452014,46.18,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",48,1929,39804,14.75,7.1,304501,1837032,46.15,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",92,1929,83680,14.75,7.1,640152,3872031,46.27,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",70,1929,58333,14.75,7.1,446248,2694980,46.2,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",75,1929,64422,14.75,7.1,492829,2980997,46.27,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",204,1929,174093,14.75,7.1,1331812,8052100,46.25,"Queens"
"JACKSON HEIGHTS","R2-CONDOMINIUM",257,1952,254910,14,7,1784370,11431976,44.85,"Queens"
"WOODSIDE","R4-CONDOMINIUM",18,2008,20291,23,8.5,294219,1962784,96.73,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",96,1939,128050,14.25,7,928363,5692008,44.45,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",41,1939,50996,14.4,7.25,364621,2278001,44.67,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",96,1942,120000,14.75,7.5,870000,5797000,48.31,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",52,1937,66083,14.63,7,504213,3112988,47.11,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",214,1964,214300,15.5,7,1821550,11880022,55.44,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",57,1937,64010,10.9,5.83,324531,2008996,31.39,"Queens"
"WOODSIDE","R2-CONDOMINIUM",16,2008,11126,23,7.32,174456,1251006,112.44,"Queens"
"WOODSIDE","R2-CONDOMINIUM",16,1986,15633,19.01,7.5,179935,1121995,71.77,"Queens"
"ELMHURST","R2-CONDOMINIUM",16,1988,12682,17,8,114138,608302,47.97,"Queens"
"ELMHURST","R4-CONDOMINIUM",20,1991,16000,16.45,8,135200,877808,54.86,"Queens"
"ELMHURST","R2-CONDOMINIUM",12,1987,7591,17.59,8.5,69002,472003,62.18,"Queens"
"WOODSIDE","R2-CONDOMINIUM",68,1992,45000,17.53,7.56,448650,2408995,53.53,"Queens"
"WOODSIDE","R4-CONDOMINIUM",63,1986,62254,17.46,8.5,557796,3707006,59.55,"Queens"
"WOODSIDE","R4-CONDOMINIUM",24,2005,20298,19.92,8.56,230585,1568000,77.25,"Queens"
"WOODSIDE","R4-CONDOMINIUM",28,2005,19625,20.06,7,256303,1833003,93.4,"Queens"
"ELMHURST","R4-CONDOMINIUM",30,2006,22926,20.29,7.1,302394,2725998,118.9,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",89,1951,73800,15.3,7.5,575640,3913994,53.04,"Queens"
"JACKSON HEIGHTS","R4-CONDOMINIUM",52,1929,60900,14,6.93,430563,2926002,48.05,"Queens"
